,product_ndc,generic_name,labeler_name,dea_schedule,brand_name,active_ingredients,finished,packaging,listing_expiration_date,openfda,marketing_category,dosage_form,spl_id,product_type,route,marketing_start_date,product_id,application_number,brand_name_base,pharm_class,marketing_end_date,brand_name_suffix,label_code,prod_code,ndc
0,0591-3220,"Butalbital, Acetaminophen, Caffeine, and Codeine Phosphate","Actavis Pharma, Inc.",CIII,"Butalbital, Acetaminophen, Caffeine, and Codeine Phosphate","[{'strength': '30 mg/1', 'name': 'CODEINE PHOSPHATE'}, {'strength': '50 mg/1', 'name': 'BUTALBITAL'}, {'strength': '40 mg/1', 'name': 'CAFFEINE'}, {'strength': '325 mg/1', 'name': 'ACETAMINOPHEN'}]",True,"[{'marketing_start_date': '20030918', 'package_ndc': '0591-3220-01', 'description': '100 CAPSULE in 1 BOTTLE (0591-3220-01)', 'sample': False}]",20211231,"{'is_original_packager': [True], 'spl_set_id': ['a58819b8-a52c-44a7-9ab0-c74480d98506'], 'upc': ['0305913220010'], 'manufacturer_name': ['Actavis Pharma, Inc.'], 'rxcui': ['993943'], 'unii': ['GSL05Y1MN6', 'KHS0AZ4JVK', '3G6A5W338E', '362O9ITL9D']}",NDA AUTHORIZED GENERIC,CAPSULE,a3f1ee9b-3482-4783-9443-a7327d00f973,HUMAN PRESCRIPTION DRUG,ORAL,20030918,0591-3220_a3f1ee9b-3482-4783-9443-a7327d00f973,NDA020232,"Butalbital, Acetaminophen, Caffeine, and Codeine Phosphate","['Full Opioid Agonists [MoA]', 'Opioid Agonist [EPC]', 'Barbiturates [CS]', 'Barbiturate [EPC]', 'Central Nervous System Stimulant [EPC]', 'Methylxanthine [EPC]', 'Xanthines [CS]', 'Central Nervous System Stimulation [PE]']",,,00591,3220,005913220
1,0555-0381,Meperidine Hydrochloride,"Teva Pharmaceuticals USA, Inc.",CII,Meperidine Hydrochloride,"[{'strength': '50 mg/1', 'name': 'MEPERIDINE HYDROCHLORIDE'}]",True,"[{'marketing_end_date': '20210228', 'marketing_start_date': '19970203', 'package_ndc': '0555-0381-02', 'description': '100 TABLET in 1 BOTTLE (0555-0381-02)', 'sample': False}]",,"{'is_original_packager': [True], 'spl_set_id': ['d714a877-5fce-4dd2-ba64-7f88004da0a5'], 'upc': ['0305550381020', '0305550392026'], 'manufacturer_name': ['Teva Pharmaceuticals USA, Inc.'], 'rxcui': ['861455', '861467'], 'unii': ['N8E7F7Q170']}",ANDA,TABLET,775057a5-3532-4daf-82f2-67bf46575085,HUMAN PRESCRIPTION DRUG,ORAL,19970203,0555-0381_775057a5-3532-4daf-82f2-67bf46575085,ANDA088639,Meperidine Hydrochloride,"['Full Opioid Agonists [MoA]', 'Opioid Agonist [EPC]']",20210228,,00555,0381,005550381
2,0555-0392,Meperidine Hydrochloride,"Teva Pharmaceuticals USA, Inc.",CII,Meperidine Hydrochloride,"[{'strength': '100 mg/1', 'name': 'MEPERIDINE HYDROCHLORIDE'}]",True,"[{'marketing_end_date': '20210228', 'marketing_start_date': '20150224', 'package_ndc': '0555-0392-02', 'description': '100 TABLET in 1 BOTTLE (0555-0392-02)', 'sample': False}]",,"{'is_original_packager': [True], 'spl_set_id': ['d714a877-5fce-4dd2-ba64-7f88004da0a5'], 'upc': ['0305550381020', '0305550392026'], 'manufacturer_name': ['Teva Pharmaceuticals USA, Inc.'], 'rxcui': ['861455', '861467'], 'unii': ['N8E7F7Q170']}",ANDA,TABLET,775057a5-3532-4daf-82f2-67bf46575085,HUMAN PRESCRIPTION DRUG,ORAL,20150224,0555-0392_775057a5-3532-4daf-82f2-67bf46575085,ANDA088640,Meperidine Hydrochloride,"['Full Opioid Agonists [MoA]', 'Opioid Agonist [EPC]']",20210228,,00555,0392,005550392
3,0574-0294,hydromorphone hydrochloride,"Paddock Laboratories, LLC.",CII,hydromorphone hydrochloride,"[{'strength': '12 mg/1', 'name': 'HYDROMORPHONE HYDROCHLORIDE'}]",True,"[{'marketing_start_date': '20150522', 'package_ndc': '0574-0294-01', 'description': '100 TABLET, EXTENDED RELEASE in 1 BOTTLE (0574-0294-01)', 'sample': False}]",20211231,"{'is_original_packager': [True], 'spl_set_id': ['780a2616-0392-4715-bc50-71799bea1957'], 'manufacturer_name': ['Paddock Laboratories, LLC.'], 'unii': ['L960UP2KRW']}",ANDA,"TABLET, EXTENDED RELEASE",bfa6b12f-e066-45fb-ac99-10e8f0e35fb9,HUMAN PRESCRIPTION DRUG,ORAL,20150522,0574-0294_bfa6b12f-e066-45fb-ac99-10e8f0e35fb9,ANDA204278,hydromorphone hydrochloride,"['Full Opioid Agonists [MoA]', 'Opioid Agonist [EPC]']",,,00574,0294,005740294
4,0574-0295,hydromorphone hydrochloride,"Paddock Laboratories, LLC.",CII,hydromorphone hydrochloride,"[{'strength': '16 mg/1', 'name': 'HYDROMORPHONE HYDROCHLORIDE'}]",True,"[{'marketing_start_date': '20150522', 'package_ndc': '0574-0295-01', 'description': '100 TABLET, EXTENDED RELEASE in 1 BOTTLE (0574-0295-01)', 'sample': False}]",20211231,"{'is_original_packager': [True], 'spl_set_id': ['780a2616-0392-4715-bc50-71799bea1957'], 'manufacturer_name': ['Paddock Laboratories, LLC.'], 'unii': ['L960UP2KRW']}",ANDA,"TABLET, EXTENDED RELEASE",bfa6b12f-e066-45fb-ac99-10e8f0e35fb9,HUMAN PRESCRIPTION DRUG,ORAL,20150522,0574-0295_bfa6b12f-e066-45fb-ac99-10e8f0e35fb9,ANDA204278,hydromorphone hydrochloride,"['Full Opioid Agonists [MoA]', 'Opioid Agonist [EPC]']",,,00574,0295,005740295
5,0574-0293,hydromorphone hydrochloride,"Paddock Laboratories, LLC.",CII,hydromorphone hydrochloride,"[{'strength': '8 mg/1', 'name': 'HYDROMORPHONE HYDROCHLORIDE'}]",True,"[{'marketing_start_date': '20150522', 'package_ndc': '0574-0293-01', 'description': '100 TABLET, EXTENDED RELEASE in 1 BOTTLE (0574-0293-01)', 'sample': False}]",20211231,"{'is_original_packager': [True], 'spl_set_id': ['780a2616-0392-4715-bc50-71799bea1957'], 'manufacturer_name': ['Paddock Laboratories, LLC.'], 'unii': ['L960UP2KRW']}",ANDA,"TABLET, EXTENDED RELEASE",bfa6b12f-e066-45fb-ac99-10e8f0e35fb9,HUMAN PRESCRIPTION DRUG,ORAL,20150522,0574-0293_bfa6b12f-e066-45fb-ac99-10e8f0e35fb9,ANDA204278,hydromorphone hydrochloride,"['Full Opioid Agonists [MoA]', 'Opioid Agonist [EPC]']",,,00574,0293,005740293
6,0574-0297,hydromorphone hydrochloride,"Paddock Laboratories, LLC.",CII,hydromorphone hydrochloride,"[{'strength': '32 mg/1', 'name': 'HYDROMORPHONE HYDROCHLORIDE'}]",True,"[{'marketing_start_date': '20170929', 'package_ndc': '0574-0297-01', 'description': '100 TABLET, EXTENDED RELEASE in 1 BOTTLE (0574-0297-01)', 'sample': False}]",20211231,"{'is_original_packager': [True], 'spl_set_id': ['780a2616-0392-4715-bc50-71799bea1957'], 'manufacturer_name': ['Paddock Laboratories, LLC.'], 'unii': ['L960UP2KRW']}",ANDA,"TABLET, EXTENDED RELEASE",bfa6b12f-e066-45fb-ac99-10e8f0e35fb9,HUMAN PRESCRIPTION DRUG,ORAL,20150522,0574-0297_bfa6b12f-e066-45fb-ac99-10e8f0e35fb9,ANDA204278,hydromorphone hydrochloride,"['Full Opioid Agonists [MoA]', 'Opioid Agonist [EPC]']",,,00574,0297,005740297
7,0574-7110,MORPHINE SULFATE,"Paddock Laboratories, LLC",CII,Morphine Sulfate,"[{'strength': '5 mg/1', 'name': 'MORPHINE SULFATE'}]",True,"[{'marketing_start_date': '19900901', 'package_ndc': '0574-7110-12', 'description': '12 PACKET in 1 BOX (0574-7110-12)  > 1 SUPPOSITORY in 1 PACKET', 'sample': False}]",20201231,"{'is_original_packager': [True], 'spl_set_id': ['649d731b-962a-45df-b043-7e0781e8a530'], 'manufacturer_name': ['Paddock Laboratories, LLC'], 'rxcui': ['892516', '892603', '892678', '894807'], 'unii': ['X3P646A2J0']}",UNAPPROVED DRUG OTHER,SUPPOSITORY,ca563202-c105-407c-8988-92b9bb9b3d83,HUMAN PRESCRIPTION DRUG,RECTAL,19900901,0574-7110_ca563202-c105-407c-8988-92b9bb9b3d83,,Morphine Sulfate,"['Full Opioid Agonists [MoA]', 'Opioid Agonist [EPC]']",,,00574,7110,005747110
8,0574-7112,MORPHINE SULFATE,"Paddock Laboratories, LLC",CII,Morphine Sulfate,"[{'strength': '10 mg/1', 'name': 'MORPHINE SULFATE'}]",True,"[{'marketing_start_date': '19900901', 'package_ndc': '0574-7112-12', 'description': '12 PACKET in 1 BOX (0574-7112-12)  > 1 SUPPOSITORY in 1 PACKET', 'sample': False}]",20201231,"{'is_original_packager': [True], 'spl_set_id': ['649d731b-962a-45df-b043-7e0781e8a530'], 'manufacturer_name': ['Paddock Laboratories, LLC'], 'rxcui': ['892516', '892603', '892678', '894807'], 'unii': ['X3P646A2J0']}",UNAPPROVED DRUG OTHER,SUPPOSITORY,ca563202-c105-407c-8988-92b9bb9b3d83,HUMAN PRESCRIPTION DRUG,RECTAL,19900901,0574-7112_ca563202-c105-407c-8988-92b9bb9b3d83,,Morphine Sulfate,"['Full Opioid Agonists [MoA]', 'Opioid Agonist [EPC]']",,,00574,7112,005747112
9,0574-7114,MORPHINE SULFATE,"Paddock Laboratories, LLC",CII,Morphine Sulfate,"[{'strength': '20 mg/1', 'name': 'MORPHINE SULFATE'}]",True,"[{'marketing_start_date': '19900901', 'package_ndc': '0574-7114-12', 'description': '12 PACKET in 1 BOX (0574-7114-12)  > 1 SUPPOSITORY in 1 PACKET', 'sample': False}]",20201231,"{'is_original_packager': [True], 'spl_set_id': ['649d731b-962a-45df-b043-7e0781e8a530'], 'manufacturer_name': ['Paddock Laboratories, LLC'], 'rxcui': ['892516', '892603', '892678', '894807'], 'unii': ['X3P646A2J0']}",UNAPPROVED DRUG OTHER,SUPPOSITORY,ca563202-c105-407c-8988-92b9bb9b3d83,HUMAN PRESCRIPTION DRUG,RECTAL,19900901,0574-7114_ca563202-c105-407c-8988-92b9bb9b3d83,,Morphine Sulfate,"['Full Opioid Agonists [MoA]', 'Opioid Agonist [EPC]']",,,00574,7114,005747114
